,lr,momentum,std,best_test_acc,best_train_acc
0,0.001,0.9,0.01,0.2361111111111111,0.19456129807692307
1,0.001,0.9,0.05,0.11458333333333333,0.11673677884615385
2,0.001,0.9,0.1,0.11197916666666666,0.11688701923076923
3,0.001,0.9,0.5,0.11458333333333333,0.11838942307692307
4,0.001,0.9,1.0,0.11805555555555555,0.12334735576923077
5,0.01,0.9,0.01,0.11458333333333333,0.11553485576923077
6,0.01,0.9,0.05,0.11805555555555555,0.1162860576923077
7,0.01,0.9,0.1,0.11458333333333333,0.11673677884615385
8,0.01,0.9,0.5,0.11805555555555555,0.11643629807692307
9,0.01,0.9,1.0,0.11458333333333333,0.11598557692307693
10,0.1,0.9,0.01,0.11805555555555555,0.11553485576923077
11,0.1,0.9,0.05,0.11805555555555555,0.11643629807692307
12,0.1,0.9,0.1,0.11805555555555555,0.11884014423076923
13,0.1,0.9,0.5,0.11805555555555555,0.11583533653846154
14,0.1,0.9,1.0,0.11805555555555555,0.1162860576923077
15,0.2,0.9,0.01,0.11805555555555555,0.11553485576923077
16,0.2,0.9,0.05,0.13802083333333331,0.11793870192307693
17,0.2,0.9,0.1,0.11805555555555555,0.12364783653846154
18,0.2,0.9,0.5,0.11805555555555555,0.11853966346153846
19,0.2,0.9,1.0,0.11805555555555555,0.11538461538461539
20,0.3,0.9,0.01,0.11805555555555555,0.12575120192307693
21,0.3,0.9,0.05,0.13802083333333331,0.11944110576923077
22,0.3,0.9,0.1,0.13802083333333331,0.11688701923076923
23,0.3,0.9,0.5,0.13802083333333331,0.1200420673076923
24,0.3,0.9,1.0,0.13802083333333331,0.12469951923076923
25,0.001,0.7,0.01,0.1519097222222222,0.11598557692307693
26,0.001,0.7,0.05,0.11805555555555555,0.11673677884615385
27,0.001,0.7,0.1,0.11197916666666666,0.11673677884615385
28,0.001,0.7,0.5,0.11805555555555555,0.11583533653846154
29,0.001,0.7,1.0,0.11458333333333333,0.11763822115384616
30,0.01,0.7,0.01,0.11458333333333333,0.1162860576923077
31,0.01,0.7,0.05,0.11458333333333333,0.11583533653846154
32,0.01,0.7,0.1,0.11458333333333333,0.11673677884615385
33,0.01,0.7,0.5,0.11458333333333333,0.11688701923076923
34,0.01,0.7,1.0,0.11458333333333333,0.1162860576923077
35,0.1,0.7,0.01,0.11805555555555555,0.12184495192307693
36,0.1,0.7,0.05,0.11805555555555555,0.12439903846153846
37,0.1,0.7,0.1,0.11805555555555555,0.11538461538461539
38,0.1,0.7,0.5,0.11805555555555555,0.11538461538461539
39,0.1,0.7,1.0,0.11805555555555555,0.1162860576923077
40,0.2,0.7,0.01,0.11805555555555555,0.11448317307692307
41,0.2,0.7,0.05,0.11805555555555555,0.11583533653846154
42,0.2,0.7,0.1,0.11805555555555555,0.11493389423076923
43,0.2,0.7,0.5,0.11805555555555555,0.11989182692307693
44,0.2,0.7,1.0,0.11805555555555555,0.11974158653846154
45,0.3,0.7,0.01,0.11805555555555555,0.11538461538461539
46,0.3,0.7,0.05,0.11805555555555555,0.11748798076923077
47,0.3,0.7,0.1,0.11805555555555555,0.11944110576923077
48,0.3,0.7,0.5,0.11805555555555555,0.11553485576923077
49,0.3,0.7,1.0,0.11805555555555555,0.11884014423076923
50,0.001,0.5,0.01,0.1831597222222222,0.12379807692307693
51,0.001,0.5,0.05,0.11805555555555555,0.1162860576923077
52,0.001,0.5,0.1,0.11458333333333333,0.12364783653846154
53,0.001,0.5,0.5,0.11197916666666666,0.1268028846153846
54,0.001,0.5,1.0,0.11805555555555555,0.11673677884615385
55,0.01,0.5,0.01,0.234375,0.22355769230769232
56,0.01,0.5,0.05,0.11458333333333333,0.1162860576923077
57,0.01,0.5,0.1,0.11805555555555555,0.11583533653846154
58,0.01,0.5,0.5,0.11458333333333333,0.11793870192307693
59,0.01,0.5,1.0,0.11458333333333333,0.1162860576923077
60,0.1,0.5,0.01,0.11805555555555555,0.11493389423076923
61,0.1,0.5,0.05,0.11458333333333333,0.11493389423076923
62,0.1,0.5,0.1,0.11805555555555555,0.11538461538461539
63,0.1,0.5,0.5,0.11458333333333333,0.11643629807692307
64,0.1,0.5,1.0,0.11458333333333333,0.11853966346153846
65,0.2,0.5,0.01,0.11458333333333333,0.11793870192307693
66,0.2,0.5,0.05,0.11805555555555555,0.11553485576923077
67,0.2,0.5,0.1,0.11805555555555555,0.11643629807692307
68,0.2,0.5,0.5,0.11805555555555555,0.11944110576923077
69,0.2,0.5,1.0,0.11805555555555555,0.11508413461538461
70,0.3,0.5,0.01,0.11805555555555555,0.1161358173076923
71,0.3,0.5,0.05,0.11805555555555555,0.11748798076923077
72,0.3,0.5,0.1,0.11805555555555555,0.11748798076923077
73,0.3,0.5,0.5,0.11805555555555555,0.1161358173076923
74,0.3,0.5,1.0,0.11805555555555555,0.11538461538461539
